sku,nombre_normalizado,referencia_normalizada,categoria,precio_venta_cop,fuente,imagen
,Edición Especial - Bts,edicion-especial-bts-nuevo,nuevo,59900,nuevo-v2,https://raw.githubusercontent.com/Yuly2222/imgcyber/main/Nuevo/packBTS.png
,Edición Especial - Black Cat,edicion-especial-black-cat-nuevo,nuevo,62000,nuevo-v2,https://raw.githubusercontent.com/Yuly2222/imgcyber/main/Nuevo/packGatoNegro.png
,Edición Especial - Kuromi,edicion-especial-kuromi-nuevo,nuevo,59900,nuevo-v2,https://raw.githubusercontent.com/Yuly2222/imgcyber/main/Nuevo/packKuromi.png
,One Piece,one-piece-camisetas,camisetas,32000,ropa-camisetas,https://raw.githubusercontent.com/Yuly2222/imgcyber/main/Camisetas%2032.000/IMG_20250603_133730198.png
